date,value
Oct-13,67
Jan-14,95
Apr-14,108
Jul-14,115
Oct-14,109
Jan-15,111
Apr-15,118
Jul-15,126
Oct-15,122
Jan-16,152
Apr-16,149
Jul-16,189
Oct-16,221
Jan-17,201
