Year,Number of internet users in millions
2000,121.87
2001,140.27
2002,169.58
2003,179.54
2004,190.09
2005,201.28
2006,206.01
2007,226.24
2008,225.31
2009,218.13
2010,222.15
2011,217.83
2012,249.64
2013,267.03
2014,279.07
2015*,283.71
2016*,286.94
